Average Time,Best Value,Generations,Population Size,Crossover Rate,Mutation Rate,Elitism Count,Generation of Best Value
0.00081955,130,300,10,0.6,0.1,1,0
0.00081805,130,300,10,0.7,0.05,1,0
0.00081475,130,300,10,0.7,0.06,1,0
0.0008107,130,300,10,0.7,0.07,1,0
0.0008152,130,300,10,0.7,0.08,1,0
0.0008099,130,300,10,0.7,0.09,1,0
0.00081735,130,300,10,0.7,0.1,1,0
0.0008154,130,300,10,0.8,0.05,1,0
0.00081755,130,300,10,0.8,0.06,1,0
0.0008122,130,300,10,0.8,0.07,1,0
0.0008159,130,300,10,0.8,0.08,1,0
0.00081015,130,300,10,0.8,0.09,1,0
0.000812,130,300,10,0.8,0.1,1,0
0.00081815,130,300,10,0.9,0.05,1,0
0.0008353,130,300,10,0.9,0.06,1,0
0.00082085,130,300,10,0.9,0.07,1,0
0.00082575,130,300,10,0.9,0.08,1,0
0.0008131,130,300,10,0.9,0.09,1,0
0.0008293,130,300,10,0.9,0.1,1,0
0.0007949,130,100,15,0.5,0.05,1,0
0.0007935,130,100,15,0.5,0.06,1,0
0.0007659,130,100,15,0.5,0.07,1,0
0.00078295,130,100,15,0.5,0.08,1,0
0.00078535,130,100,15,0.5,0.09,1,0
0.00079585,130,100,15,0.5,0.1,1,0
0.0008519,130,100,15,0.6,0.05,1,0
0.00084555,130,100,15,0.6,0.06,1,0
0.00084205,130,100,15,0.6,0.07,1,0
0.0008551,130,100,15,0.6,0.08,1,0
0.0008467,130,100,15,0.6,0.09,1,0
0.00085275,130,100,15,0.6,0.1,1,0
0.00088955,130,100,15,0.7,0.05,1,0
0.00089825,130,100,15,0.7,0.06,1,0
0.0009154,130,100,15,0.7,0.07,1,0
0.0009063,130,100,15,0.7,0.08,1,0
0.000917,130,100,15,0.7,0.09,1,0
0.0008892,130,100,15,0.7,0.1,1,0
0.0009412,130,100,15,0.8,0.05,1,0
0.00094325,130,100,15,0.8,0.06,1,0
0.0009416,130,100,15,0.8,0.07,1,0
0.00093245,130,100,15,0.8,0.08,1,0
0.0009605,130,100,15,0.8,0.09,1,0
0.00095965,130,100,15,0.8,0.1,1,0
0.0009931,130,100,15,0.9,0.05,1,0
0.0009796,130,100,15,0.9,0.06,1,0
0.00098765,130,100,15,0.9,0.07,1,0
0.0010043,130,100,15,0.9,0.08,1,0
0.00099895,130,100,15,0.9,0.09,1,0
0.00101575,130,100,15,0.9,0.1,1,0
0.0014688,130,200,15,0.5,0.05,1,0
0.0014603,130,200,15,0.5,0.06,1,0
0.0014586,130,200,15,0.5,0.07,1,0
0.0014702,130,200,15,0.5,0.08,1,0
0.00145635,130,200,15,0.5,0.09,1,0
0.0014672,130,200,15,0.5,0.1,1,0
0.00158195,130,200,15,0.6,0.05,1,0
0.00160765,130,200,15,0.6,0.06,1,0
0.0015794,130,200,15,0.6,0.07,1,0
0.001603,130,200,15,0.6,0.08,1,0
0.00159285,130,200,15,0.6,0.09,1,0
0.0015875,130,200,15,0.6,0.1,1,0
0.0017086,130,200,15,0.7,0.05,1,0
0.00167215,130,200,15,0.7,0.06,1,0
0.0017145,130,200,15,0.7,0.07,1,0
0.0017024,130,200,15,0.7,0.08,1,0
0.00167675,130,200,15,0.7,0.09,1,0
0.0017357,130,200,15,0.7,0.1,1,0
0.00183085,130,200,15,0.8,0.05,1,0
0.0017962,130,200,15,0.8,0.06,1,0
0.0017842,130,200,15,0.8,0.07,1,0
0.00176205,130,200,15,0.8,0.08,1,0
0.00180395,130,200,15,0.8,0.09,1,0
0.00181965,130,200,15,0.8,0.1,1,0
0.00187165,130,200,15,0.9,0.05,1,0
0.0018975,130,200,15,0.9,0.06,1,0
0.00190895,130,200,15,0.9,0.07,1,0
0.00189405,130,200,15,0.9,0.08,1,0
0.00189515,130,200,15,0.9,0.09,1,0
0.00191855,130,200,15,0.9,0.1,1,0
0.0021413,130,300,15,0.5,0.05,1,0
